bairro,renda_media_responsavel_2022,ranking_renda,fonte,link
Quintino Cunha,1636.15,97,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Rodolfo Teófilo,2915.06,46,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Sabiaguaba,2629.56,53,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Salinas,6295.21,15,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
São Bento,2157.68,69,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
São Gerardo,5344.28,17,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
São João do Tauape,3486.64,34,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Sapiranga / Coité,3335.9,38,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Serrinha,1794.06,88,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Siqueira,1460.33,111,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Varjota,8044.75,9,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Vicente Pinzón,2241.61,60,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Vila Peri,1882.42,82,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Vila União,3332.63,39,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
Vila Velha,1960.13,77,IPECE Informe 272 / Censo IBGE 2022,https://www.ipece.ce.gov.br/wp-content/uploads/sites/45/2025/08/ipece_informe_272_05_ago2025.pdf
